"Ticker","Company Name","Sector","Shares Outstanding, Millions"
"MCO","Moody's Corp","Financials","200.3"
"MDLZ","Mondelez Int'l","Consumer Staples","1611.5"
"MDT","Medtronic Inc.","Health Care","178.8"
"MET","MetLife Inc.","Financials","1116.8"
"MHFI","McGraw Hill Financial","Financials","272.5"
"MHK","Mohawk Industries","Consumer Discretionary","73.9"
"MJN","Mead Johnson","Consumer Staples","202.8"
"MKC","McCormick & Co.","Consumer Staples","128.0"
"MLM","Martin Marietta","Materials","67.0"
"MMC","Marsh & McLennan","Financials","531.4"
"MMM","3M Company","Industrials","624.7"
"MNK","Mallinckrodt plc","Health Care","117.3"
"MNST","Monster Beverage","Consumer Staples","205.5"
"MO","Altria Group Inc.","Consumer Staples","1962.0"
"MON","Monsanto Co.","Materials","468.6"
"MOS","The Mosaic Co.","Materials","356.9"
"MPC","Marathon Petroleum","Energy","537.0"
"MRK","Merck & Co.","Health Care","2824.0"
"MRO","Marathon Oil Corp.","Energy","677.0"
"MS","Morgan Stanley","Financials","1955.7"
"MSFT","Microsoft Corp.","Information Technology","8027.0"
"MSI","Motorola Solutions Inc.","Information Technology","206.8"
"MTB","M&T Bank Corp.","Financials","133.1"
"MU","Micron Technology","Information Technology","1076.0"
"MUR","Murphy Oil","Energy","172.8"
"MYL","Mylan Inc.","Health Care","983.1"
"NAVI","Navient","Financials","374.0"
"NBL","Noble Energy Inc.","Energy","390.0"
"NDAQ","NASDAQ OMX Group","Financials","168.9"
"NEE","NextEra Energy","Utilities","452.1"
"NEM","Newmont Mining Corp.","Materials","529.1"
"NFLX","Netflix Inc.","Information Technology","60.9"
"NFX","Newfield Exploration Co.","Energy","163.0"
"NI","NiSource Inc.","Utilities","317.7"
"NKE","Nike, Inc.","Consumer Discretionary","857.0"
"NLSN","Nielsen Holdings","Industrials","99.6"
"NOC","Northrop Grumman Corp.","Industrials","188.4"
"NOV","National Oilwell Varco Inc.","Energy","386.5"
"NRG","NRG Energy","Utilities","330.5"
"NSC","Norfolk Southern Corp.","Industrials","301.4"
"NTAP","NetApp","Information Technology","297.0"
"NTRS","Northern Trust Corp.","Financials","232.9"
"NUE","Nucor Corp.","Materials","319.6"
"NVDA","Nvidia Corp.","Information Technology","539.0"
"NWL","Newell Rubbermaid Co.","Consumer Discretionary","267.8"
"NWS","News Corp Class B","Consumer Discretionary","581.5"
"NWSA","News Corp Class A","Consumer Discretionary","581.5"
"O","Realty Income Corp","Financials","234.9"
"OI","Owens-Illinois Inc.","Materials","160.8"
"OKE","ONEOK, Inc.","Energy","209.0"
"OMC","Omnicom Group","Consumer Discretionary","242.9"
"ORCL","Oracle Corp.","Information Technology","4282.0"
"ORLY","O'Reilly Automotive","Consumer Discretionary","99.6"
"OXY","Occidental Petroleum","Energy","763.4"
"PAYX","Paychex Inc.","Information Technology","360.5"
"PBCT","People's United Bank","Financials","302.1"
"PBI","Pitney-Bowes","Industrials","201.9"
"PCAR","PACCAR Inc.","Industrials","354.9"
"PCG","PG&E Corp.","Utilities","481.6"
"PCL","Plum Creek Timber Co.","Financials","174.9"
"PCLN","Priceline.com Inc","Consumer Discretionary","51.1"
"PCP","Precision Castparts","Industrials","137.5"
"PDCO","Patterson Companies","Health Care","103.4"
"PEG","Public Serv. Enterprise Inc.","Utilities","505.8"
"PEP","PepsiCo Inc.","Consumer Staples","1472.0"
"PFE","Pfizer Inc.","Health Care","6167.3"
"PFG","Principal Financial Group","Financials","294.7"
"PG","Procter & Gamble","Consumer Staples","2714.6"
"PGR","Progressive Corp.","Financials","585.9"
"PH","Parker-Hannifin","Industrials","138.6"
"PHM","Pulte Homes Inc.","Consumer Discretionary","354.8"
"PKI","PerkinElmer","Health Care","113.4"
"PLD","Prologis","Financials","524.1"
"PM","Philip Morris Int'l","Consumer Staples","1549.2"
"PNC","PNC Financial Services","Financials","516.0"
"PNR","Pentair Ltd.","Industrials","180.1"
"PNW","Pinnacle West Capital","Utilities","110.8"
"POM","Pepco Holdings Inc.","Utilities","253.4"
"PPG","PPG Industries","Materials","270.7"
"PPL","PPL Corp.","Utilities","669.5"
"PRGO","Perrigo","Health Care","146.4"
"PRU","Prudential Financial","Financials","451.9"
"PSA","Public Storage","Financials","172.7"
"PSX","Phillips 66","Energy","537.7"
"PVH","PVH Corp.","Consumer Discretionary","82.6"
"PWR","Quanta Services Inc.","Industrials","206.0"
"PX","Praxair Inc.","Materials","286.5"
"PXD","Pioneer Natural Resources","Energy","149.0"
"PYPL","PayPal Holdings Inc.","Information Technology","1220.0"
"QCOM","Qualcomm, Inc.","Information Technology","1578.0"
"QRVO","Qorvo, Inc","Information Technology","149.4"
"R","Ryder System","Industrials","53.4"
"RAI","Reynolds American Inc.","Consumer Staples","714.6"
"RCL","Royal Caribbean Cruises","Consumer Discretionary","219.9"
"REGN","Regeneron","Health Care","103.6"
"RF","Regions Financial Corp.","Financials","1330.6"
"RHI","Robert Half International","Industrials","134.2"
"RHT","Red Hat Inc.","Information Technology","182.8"
"RIG","Transocean","Energy","363.6"
"RL","Polo Ralph Lauren Corp.","Consumer Discretionary","85.7"
"ROK","Rockwell Automation Inc.","Industrials","134.1"
"ROP","Roper Industries","Industrials","100.7"
"ROST","Ross Stores","Consumer Discretionary","408.1"
"RRC","Range Resources Corp.","Energy","169.3"
"RSG","Republic Services Inc.","Industrials","349.3"
"RTN","Raytheon Co.","Industrials","304.0"
"SBUX","Starbucks Corp.","Consumer Discretionary","1490.8"
"SCG","SCANA Corp.","Utilities","142.9"
"SCHW","Charles Schwab Corp.","Financials","1315.1"
"SE","Spectra Energy Corp.","Energy","671.4"
"SEE","Sealed Air Corp.","Materials","208.9"
"SHW","Sherwin-Williams Co.","Materials","93.2"
"SIAL","Sigma-Aldrich Corp.","Materials","119.8"
"SIG","Signet Jewelers Ltd","Consumer Discretionary","79.7"
"SJM","J.M. Smucker Co.","Consumer Staples","119.7"
"SLB","Schlumberger Ltd.","Energy","1265.4"
